Open Street (yes/no), Latitude, Longitude 
no,-73.86438,40.74508
no,-74.11815,40.606613
no,-73.94558,40.81275
no,-73.917786,40.703403
no,-73.86334,40.871376
no,-73.93488,40.7096
no,-73.8022,40.728127
no,-73.78128,40.68483
no,-73.94761,40.82523
no,-73.958,40.650414
no,-73.90006,40.74594
no,-74.01097,40.7163
no,-73.87462,40.829502
no,-73.892494,40.843822
no,-73.72911,40.69108
no,-73.80638,40.674305
no,-73.80178,40.666386
no,-73.978775,40.63367
no,-73.93619,40.76769
no,-73.89787,40.821003
no,-73.9367,40.81404
no,-73.89492,40.67591
no,-73.93525,40.75393
no,-73.89579,40.812065
no,-73.79149,40.855873
no,-73.83567,40.86751
no,-73.76346,40.668003
no,-73.99959,40.673107
no,-73.995766,40.743923
no,-73.95556,40.71985
no,-74.097534,40.614075
no,-73.76239,40.691666
no,-73.91969,40.583733
no,-73.89884,40.859303
no,-73.82571,40.751
no,-73.86579,40.87718
no,-73.92031,40.835396
no,-73.97624,40.765675
no,-73.9155,40.760567
no,-73.89083,40.820305
no,-73.90876,40.832005
no,-73.83661,40.877476
no,-73.879875,40.646152
no,-73.75457,40.72707
no,-73.866875,40.65317
no,-73.838394,40.840675
no,-73.88889,40.86038
no,-73.90378,40.71282
no,-73.96434,40.7606
no,-73.86699,40.825165
no,-73.804886,40.698986
no,-73.8255,40.835217
no,-73.887794,40.847614
no,-73.76744,40.74518
no,-73.830505,40.71702
no,-73.961075,40.760857
no,-73.92632,40.845024
no,-73.91111,40.845078
no,-74.075325,40.64206
no,-74.084564,40.619804
no,-73.87767,40.73675
no,-74.16027,40.6153
no,-73.88371,40.6496
no,-73.95051,40.669857
no,-73.72985,40.665558
no,-73.96286,40.781593
no,-73.75694,40.60861
no,-73.992905,40.644615
no,-73.99682,40.66919
no,-73.91282,40.861862
no,-73.736084,40.67452
no,-73.91893,40.753635
no,-73.82687,40.761093
no,-73.93262,40.74478
no,-73.86309,40.88306
no,-73.945145,40.84932
no,-73.82449,40.78356
no,-73.911446,40.633858
no,-73.93384,40.751602
no,-73.93077,40.655334
no,-73.808876,40.759113
no,-73.91824,40.771477
no,-73.940605,40.63908
no,-74.01467,40.623688
no,-73.90902,40.754276
no,-73.83096,40.86224
no,-73.97224,40.597095
no,-73.94281,40.73272
yes,-73.970375,40.794052
no,-73.77703,40.759575
no,-73.817635,40.688774
no,-73.80576,40.683094
no,-73.84214,40.668266
no,-73.8603,40.753937
no,-73.973206,40.632618
no,-73.95064,40.636112
no,-73.935234,40.696983
no,-73.79915,40.706684
no,-73.942474,40.761993
no,-73.99262,40.70206
no,-73.93312,40.64993
no,-73.939896,40.661495
no,-73.75711,40.76229
no,-73.94532,40.63814
no,-73.930084,40.65836
no,-73.9965,40.6687
no,-73.89978,40.87298
no,-73.98041,40.748363
no,-73.917564,40.819168
no,-74.075035,40.625603
no,-73.949295,40.64814
no,-73.85984,40.676727
no,-73.91831,40.83142
no,-73.84459,40.680687
no,-73.972496,40.669834
no,-73.90734,40.853813
no,-73.982254,40.583275
no,-73.793274,40.78643
no,-73.99926,40.759514
no,-73.89883,40.827816
no,-73.97509,40.71978
no,-73.94497,40.66955
no,-73.73402,40.6952
no,-73.90867,40.676212
no,-73.930016,40.83829
no,-73.81762,40.73973
no,-73.90822,40.825314
no,-73.97491,40.735764
no,-74.00104,40.67641
no,-74.18623,40.630505
no,-73.87714,40.67873
no,-73.71305,40.73074
no,-73.96017,40.716568
no,-73.88956,40.84377
no,-73.95443,40.76241
no,-74.13804,40.570564
no,-73.96145,40.660774
no,-73.85726,40.679573
no,-73.95007,40.727966
no,-73.89671,40.895805
no,-73.94913,40.613052
no,-73.90572,40.87314
no,-73.924,40.841133
no,-73.92251,40.60981
no,-73.94385,40.58681
no,-73.74013,40.635643
no,-73.76626,40.66851
no,-73.91417,40.84518
no,-73.909874,40.86231
no,-73.98638,40.730377
no,-73.98237,40.731617
no,-73.97215,40.57885
no,-73.93468,40.593052
no,-73.99417,40.741028
no,-73.98432,40.769848
no,-73.846375,40.877033
no,-73.928505,40.63413
no,-73.84889,40.727024
no,-73.88128,40.872585
no,-73.95573,40.707645
no,-74.02029,40.62806
no,-74.15001,40.622433
no,-73.91196,40.706783
no,-73.72469,40.724495
no,-73.942024,40.805435
no,-73.902626,40.680664
no,-73.94539,40.841843
no,-73.92884,40.707577
no,-73.94339,40.69529
no,-73.89114,40.820988
no,-73.96182,40.699715
no,-74.00757,40.72584
no,-73.93673,40.743195
no,-73.85827,40.82201
no,-73.73102,40.72159
no,-73.92939,40.834667
yes,-73.988594,40.71334
no,-73.85217,40.69366
no,-73.905174,40.875122
no,-74.165794,40.590706
no,-73.85151,40.69242
no,-73.989,40.620304
no,-73.9339,40.66895
no,-73.74419,40.73032
no,-73.99992,40.726933
no,-73.83509,40.74738
no,-73.95885,40.683018
no,-73.80172,40.682095
no,-73.77864,40.69401
no,-73.89591,40.712505
no,-74.01178,40.722324
no,-73.8255,40.869335
no,-73.84711,40.716507
no,-73.90661,40.69212
no,-73.91722,40.881443
no,-73.91861,40.632095
no,-73.89884,40.859303
no,-73.824005,40.793217
no,-73.871445,40.849403
no,-73.82308,40.716526
no,-73.892654,40.6319
no,-73.78517,40.7064
no,-73.92264,40.668373
no,-73.91451,40.671726
no,-73.83275,40.68804
no,-73.8219,40.68884
no,-73.949684,40.678543
no,-73.81743,40.704494
no,-73.93673,40.808224
no,-73.89445,40.6647
no,-73.83132,40.66559
no,-73.928764,40.829185
no,-73.842445,40.66929
no,-73.94549,40.80777
no,-73.81056,40.666332
no,-73.8897,40.76893
no,-73.90299,40.753708
no,-73.93584,40.826088
no,-73.89964,40.835014
no,-73.93414,40.679543
no,-73.95459,40.82077
no,-74.03169,40.621895
no,-73.83131,40.88919
no,-73.94333,40.82092
no,-73.75484,40.72423
no,-73.90379,40.64647
no,-73.828636,40.685654
no,-73.830734,40.71626
no,-73.94582,40.757797
no,-73.85981,40.859673
no,-73.90279,40.858387
no,-73.80894,40.680042
no,-74.16619,40.635853
no,-73.83768,40.7433
no,-73.98742,40.778522
no,-73.74592,40.726368
no,-73.93829,40.653324
no,-73.79171,40.666306
no,-73.80799,40.71582
no,-73.82132,40.665916
no,-73.76762,40.595802
no,-73.93989,40.839565
no,-73.94424,40.677353
no,-73.83015,40.759567
no,-73.806274,40.66653
no,-73.985886,40.765472
no,-73.9005,40.63531
no,-73.94824,40.577393
no,-73.94478,40.779144
no,-73.952194,40.773018
no,-73.98043,40.7599
no,-73.87611,40.660755
no,-73.88127,40.878674
no,-73.93067,40.815342
no,-73.912346,40.63807
no,-74.20477,40.515358
no,-73.895134,40.833195
no,-73.78092,40.595325
no,-73.96518,40.624763
no,-73.92835,40.668648
no,-73.88604,40.749577
no,-73.928856,40.76042
no,-73.96062,40.701656
no,-73.80112,40.704845
no,-74.15856,40.61325
no,-73.899315,40.67398
no,-73.961266,40.64059
no,-73.86023,40.729355
no,-73.9012,40.8841
no,-73.99466,40.680542
no,-73.91911,40.83553
no,-73.92352,40.6869
no,-73.727425,40.704712
no,-73.83275,40.68804
no,-73.781235,40.7423
no,-73.782776,40.695995
no,-73.85819,40.711597
no,-73.78886,40.7055
no,-73.994896,40.760452
no,-73.955086,40.820095
no,-73.79836,40.672443
yes,-73.97883,40.782463
no,-73.915504,40.68576
no,-73.95981,40.58008
no,-73.94969,40.80202
no,-73.923836,40.699627
no,-74.0872,40.607838
no,-73.87827,40.87033
no,-74.16878,40.58388
no,-73.8461,40.870388
no,-73.85839,40.67472
no,-73.88507,40.635406
no,-73.87835,40.748222
no,-73.92312,40.700344
no,-73.836754,40.827423
no,-73.96188,40.69993
no,-73.909966,40.634815
no,-73.87039,40.83609
no,-73.91388,40.730366
no,-73.90945,40.686844
no,-74.019615,40.6397
no,-73.952995,40.678722
no,-73.960144,40.7059
no,-73.866875,40.65317
no,-73.90791,40.869495
no,-73.881226,40.76401
no,-73.796776,40.700512
no,-73.95673,40.697453
no,-73.96722,40.704254
no,-73.959305,40.820568
no,-73.90692,40.65473
no,-73.78108,40.75759
no,-73.89175,40.86951
no,-73.98824,40.61424
no,-73.92012,40.668377
no,-73.95147,40.68986
no,-73.94566,40.750645
no,-73.98294,40.69977
no,-73.9221,40.654327
no,-73.9955,40.733433
no,-73.90947,40.660873
no,-73.9185,40.767735
no,-73.921646,40.838886
no,-73.92546,40.694374
no,-73.82436,40.83206
no,-73.89342,40.76854
no,-73.81521,40.680256
no,-73.77179,40.744465
no,-73.900826,40.842148
no,-73.88629,40.652752
no,-73.94688,40.683647
no,-73.96048,40.647243
no,-73.848885,40.789368
no,-74.03284,40.626328
no,-73.97924,40.668293
no,-73.931015,40.694588
no,-73.94791,40.667923
no,-73.820564,40.787247
no,-73.72697,40.69798
no,-73.91035,40.83443
no,-73.90085,40.6379
no,-73.829994,40.680035
no,-73.96345,40.651363
no,-73.778984,40.76235
no,-73.83882,40.727898
no,-73.93284,40.793438
no,-73.74926,40.702927
no,-74.12163,40.5715
no,-73.810135,40.75684
no,-73.89413,40.818348
no,-73.95736,40.7263
no,-73.942986,40.831566
no,-73.896225,40.677357
no,-74.16984,40.561077
no,-73.90765,40.850857
no,-73.9494,40.835484
no,-73.82109,40.614223
no,-73.91613,40.7015
no,-73.99084,40.75766
no,-73.97839,40.60115
no,-74.12873,40.63709
no,-73.9247,40.85664
no,-73.88512,40.836475
no,-73.98726,40.607243
no,-73.78581,40.688995
no,-73.928894,40.585056
no,-73.82595,40.745304
no,-73.919,40.76577
no,-73.91243,40.8047
no,-73.81478,40.73434
no,-73.83482,40.878056
no,-73.91075,40.66968
no,-73.93943,40.654797
no,-73.73568,40.66561
no,-73.9196,40.699505
no,-73.83985,40.863636
no,-73.947075,40.784237
no,-73.98738,40.608128
no,-73.853836,40.865406
no,-73.98529,40.723648
no,-73.95362,40.661385
no,-74.124344,40.63092
no,-73.8948,40.85108
no,-73.84517,40.7243
no,-73.847855,40.780148
no,-73.97593,40.740494
no,-73.78266,40.683655
no,-73.95526,40.64053
no,-73.779945,40.595383
no,-73.795815,40.75809
no,-73.88687,40.677357
no,-73.95681,40.659725
no,-73.86536,40.881783
no,-73.89619,40.846657
no,-73.72839,40.65741
no,-73.93159,40.663227
no,-74.11581,40.64164
no,-73.80401,40.76027
no,-73.754974,40.72416
no,-73.90395,40.87626
no,-73.9344,40.634827
no,-74.001976,40.73507
no,-73.91557,40.658394
no,-73.91545,40.637447
no,-73.95568,40.589985
no,-73.9643,40.76468
no,-73.973206,40.632618
no,-74.01073,40.729046
no,-73.82086,40.689133
no,-73.72668,40.69141
no,-73.95832,40.706554
no,-73.83131,40.88919
no,-73.91239,40.77731
no,-73.92945,40.64288
no,-73.747925,40.688793
no,-73.90971,40.80577
no,-73.89063,40.658577
no,-73.94202,40.634354
no,-73.935234,40.696983
no,-73.896,40.70458
no,-73.926994,40.762726
no,-74.13512,40.59898
no,-73.867325,40.83803
no,-73.95187,40.809196
no,-73.91619,40.842335
no,-73.82635,40.83398
no,-73.8859,40.81459
no,-73.96191,40.65487
no,-73.92444,40.823456
no,-73.86355,40.74849
no,-73.88773,40.677155
no,-73.79147,40.593124
no,-73.905235,40.903553
no,-73.89622,40.81632
no,-73.81154,40.702274
no,-74.0867,40.634533
no,-73.87076,40.876534
no,-73.85359,40.849297
no,-73.92471,40.62601
no,-73.89997,40.868015
no,-73.916855,40.84506
no,-73.90473,40.85537
no,-73.887085,40.63145
no,-73.8259,40.716652
no,-73.9305,40.67934
no,-73.8338,40.696136
no,-73.91479,40.837517
no,-73.96414,40.71807
no,-73.937386,40.748924
no,-73.892845,40.70191
no,-73.90907,40.659336
no,-73.91576,40.887817
no,-73.90536,40.74789
no,-73.915245,40.660603
no,-73.7686,40.664017
no,-73.70558,40.737923
no,-73.91095,40.659058
no,-73.965614,40.774406
no,-73.93331,40.847412
no,-73.722946,40.764267
no,-73.74822,40.665848
no,-73.924255,40.64854
no,-73.753,40.658085
no,-73.80141,40.705845
no,-73.75324,40.680115
no,-73.908806,40.695847
no,-73.94463,40.631836
no,-73.842445,40.66929
no,-73.84549,40.670227
no,-73.9961,40.63811
no,-73.86309,40.748802
no,-73.912964,40.814266
no,-73.861786,40.74428
no,-73.81553,40.70041
no,-73.98901,40.627674
no,-74.2222,40.532036
no,-73.95362,40.73169
no,-73.72412,40.74003
no,-73.9357,40.73783
no,-73.96387,40.586918
no,-73.79891,40.70628
no,-74.01642,40.634724
no,-73.84603,40.70969
no,-73.99455,40.729404
no,-73.98042,40.642384
no,-73.73419,40.704685
no,-73.80205,40.674953
no,-73.741646,40.715015
no,-73.85004,40.827595
no,-73.746544,40.73578
no,-73.927666,40.62621
no,-73.91454,40.685226
no,-74.06377,40.598934
no,-73.88685,40.843296
no,-73.90471,40.64359
no,-73.951416,40.640766
no,-73.98978,40.769615
no,-73.93742,40.804375
no,-73.9149,40.84731
no,-73.842445,40.66929
no,-73.72321,40.754105
no,-73.93336,40.758274
no,-73.861786,40.74506
no,-73.95132,40.639805
no,-74.00052,40.732315
no,-73.81712,40.586746
no,-73.84355,40.871254
no,-73.97624,40.765675
no,-73.984955,40.600426
no,-73.95323,40.763897
no,-73.80509,40.73169
no,-73.90638,40.65641
no,-74.00711,40.654984
no,-73.81117,40.788525
no,-73.79907,40.68085
no,-73.9553,40.6792
no,-73.98537,40.73579
no,-73.85472,40.885975
no,-74.12146,40.610172
no,-73.901184,40.838196
no,-73.93981,40.578316
no,-74.164345,40.553192
no,-73.74174,40.65973
no,-73.94463,40.631836
no,-73.86216,40.69215
no,-73.87524,40.836086
no,-73.76412,40.691883
no,-73.94293,40.823257
no,-73.897736,40.861347
no,-73.85779,40.815525
no,-73.99595,40.75898
no,-73.92147,40.840286
no,-73.87757,40.83999
no,-73.98796,40.576275
no,-73.9872,40.597923
no,-73.8828,40.841293
no,-73.95232,40.823887
no,-73.93056,40.635063
no,-73.92285,40.652462
no,-73.82482,40.73963
no,-73.72981,40.66643
no,-74.00592,40.72225
no,-73.78652,40.719734
no,-73.86777,40.82299
no,-73.7994,40.717014
no,-73.93823,40.621857
no,-73.876076,40.83164
no,-73.84459,40.680687
no,-73.8279,40.885952
no,-74.15326,40.589703
no,-74.11883,40.640575
no,-73.95615,40.694576
no,-73.94952,40.793606
no,-74.19731,40.54326
no,-73.7408,40.60439
no,-73.935135,40.610096
no,-73.74779,40.70786
no,-73.902336,40.76772
no,-73.980156,40.742924
no,-73.79359,40.699757
no,-73.93174,40.694992
no,-73.981094,40.721024
no,-73.94425,40.701603
no,-73.82226,40.66496
no,-73.95719,40.618324
no,-74.133965,40.55296
no,-73.961525,40.76023
no,-73.83478,40.666435
no,-73.98374,40.760456
no,-73.809944,40.688168
no,-73.90333,40.86531
no,-73.94237,40.675674
no,-73.99459,40.60242
no,-74.017624,40.635803
no,-73.95571,40.761272
no,-73.889015,40.682163
no,-73.85918,40.832756
no,-73.84002,40.763885
no,-73.98369,40.74675
no,-73.93061,40.653805
no,-73.89467,40.75458
no,-73.92681,40.853714
no,-73.93332,40.85533
no,-73.9008,40.67657
no,-73.99009,40.748276
no,-74.01231,40.64995
no,-73.95528,40.670124
no,-73.81743,40.704494
no,-73.89569,40.742416
no,-73.849106,40.89
no,-73.979996,40.783844
no,-73.98682,40.699955
no,-73.90692,40.65473
no,-73.9017,40.853138
no,-73.93829,40.653324
no,-73.94028,40.62262
no,-73.92258,40.753216
no,-73.89971,40.884815
no,-73.91349,40.888336
no,-73.94003,40.651276
no,-73.84342,40.875256
no,-73.92059,40.812263
no,-73.88029,40.741295
no,-73.92732,40.818558
no,-73.85451,40.736732
no,-73.775475,40.743427
no,-73.90607,40.768467
no,-73.72932,40.661263
no,-73.91904,40.833088
no,-73.817795,40.683502
no,-73.92361,40.65605
no,-74.1128,40.637527
no,-73.87505,40.745934
no,-74.01696,40.631622
no,-73.85625,40.897625
no,-73.96832,40.681934
no,-73.92597,40.851105
no,-73.8259,40.83793
no,-73.87207,40.863705
no,-73.73939,40.75576
no,-73.88179,40.692345
no,-73.92125,40.76838
no,-74.19329,40.58979
no,-73.91827,40.779285
no,-73.94774,40.669704
no,-73.89667,40.843525
no,-74.15145,40.55086
no,-74.14319,40.59431
no,-73.943115,40.644634
no,-73.92484,40.676292
no,-73.78028,40.740097
no,-73.93609,40.846104
no,-73.87085,40.751545
no,-73.932236,40.68383
no,-73.884865,40.747536
no,-73.781456,40.708252
no,-73.931046,40.76948
no,-73.80247,40.69215
no,-73.8029,40.71609
no,-73.973656,40.63359
no,-73.93061,40.653805
no,-73.95836,40.760536
no,-73.945206,40.68984
no,-73.78673,40.700035
no,-73.80894,40.680042
no,-73.71112,40.74486
no,-73.92547,40.665916
no,-73.95269,40.676243
no,-73.89655,40.770123
no,-74.01397,40.638153
no,-73.86536,40.881783
no,-73.86316,40.73447
no,-73.95836,40.82156
no,-73.93639,40.653442
no,-73.919975,40.669476
no,-73.94513,40.636448
no,-74.10001,40.610897
no,-74.123955,40.568428
no,-73.91626,40.706062
no,-73.8893,40.69855
no,-73.90674,40.72773
no,-73.834694,40.746902
no,-73.910706,40.77613
no,-73.9037,40.858707
no,-73.94079,40.600037
no,-73.98646,40.665028
no,-73.8835,40.65759
no,-73.78486,40.704582
no,-73.96014,40.61348
no,-73.84657,40.857365
no,-73.94999,40.78717
no,-73.97494,40.58273
no,-73.907394,40.846783
no,-73.989746,40.690357
no,-73.949684,40.74408
no,-73.94221,40.669403
no,-73.80996,40.701992
no,-73.834984,40.707096
no,-74.1128,40.637527
no,-73.89256,40.64891
no,-73.84604,40.828022
no,-73.872116,40.67798
no,-73.911156,40.67398
no,-73.84565,40.740017
no,-73.92164,40.700672
no,-73.83709,40.744923
no,-73.90243,40.668293
no,-73.920906,40.814327
no,-73.89489,40.823566
no,-73.979614,40.57944
no,-73.958916,40.716724
yes,-73.96695,40.674416
no,-73.98762,40.725445
no,-73.94117,40.65315
no,-73.883514,40.683002
no,-73.98569,40.78031
no,-73.86707,40.72697
no,-73.84499,40.75482
no,-73.99885,40.730667
no,-73.93708,40.848938
no,-73.94463,40.631836
no,-73.9567,40.702805
no,-73.716576,40.74165
yes,-73.97911,40.67841
no,-73.76676,40.66743
no,-73.94135,40.81344
no,-73.82756,40.72496
no,-73.962975,40.587017
no,-73.90047,40.84757
no,-73.78266,40.683655
no,-73.866005,40.817844
no,-73.75666,40.605618
no,-73.85534,40.82645
no,-73.826515,40.690983
no,-73.86105,40.738083
no,-73.992294,40.669926
no,-73.94877,40.643246
no,-73.898605,40.697433
no,-73.92341,40.83543
no,-73.90494,40.862747
no,-73.87954,40.73602
no,-73.72819,40.690914
no,-73.83481,40.66632
no,-73.853935,40.830795
no,-73.802635,40.666405
no,-73.76635,40.756447
no,-73.993355,40.66495
no,-73.82687,40.761093
no,-73.908806,40.75417
no,-73.984406,40.60756
no,-73.87176,40.666595
no,-73.92241,40.809776
no,-73.87743,40.680016
no,-73.970924,40.626568
no,-73.94113,40.799297
no,-74.00303,40.65072
no,-73.72694,40.69382
no,-73.95268,40.677025
no,-73.913864,40.843975
no,-73.88946,40.86309
no,-73.94244,40.753998
no,-73.886696,40.656204
no,-73.82817,40.878204
no,-73.91031,40.6967
no,-73.924774,40.677174
no,-73.92744,40.678425
no,-73.9177,40.675125
no,-73.957306,40.630512
no,-73.94087,40.799633
no,-74.11792,40.5591
no,-73.83764,40.74233
no,-73.9117,40.68812
no,-73.92992,40.77086
no,-73.98038,40.660397
no,-73.94531,40.772327
yes,-74.00806,40.739372
no,-73.73291,40.657524
no,-73.98429,40.614586
no,-74.1189,40.57256
no,-73.84169,40.865177
no,-74.01237,40.636242
no,-73.76579,40.726444
no,-73.831726,40.846195
no,-74.17562,40.55554
no,-73.93188,40.66883
no,-73.94626,40.70321
no,-73.82319,40.68662
no,-74.00174,40.745922
no,-73.92484,40.611897
no,-73.87811,40.83887
no,-74.08729,40.63781
no,-73.88706,40.822613
no,-73.759834,40.67897
no,-73.86755,40.74157
no,-73.87708,40.644745
no,-73.95626,40.781483
yes,-73.974945,40.74608
no,-73.86143,40.693604
no,-73.88259,40.67386
no,-73.91836,40.85535
no,-73.95648,40.771385
no,-73.89634,40.705273
no,-73.91842,40.836437
no,-73.89796,40.642574
no,-73.98575,40.68963
no,-74.00597,40.735844
no,-73.86579,40.88893
no,-73.86054,40.680134
no,-73.80019,40.69359
no,-74.19714,40.519127
no,-73.893906,40.823982
no,-73.96602,40.794945
no,-73.97157,40.629986
no,-74.12118,40.608833
no,-73.938774,40.676273
no,-73.889984,40.82681
no,-73.979065,40.75022
no,-74.12709,40.57637
no,-73.986694,40.781666
no,-73.871635,40.73088
no,-73.9113,40.639366
no,-73.85358,40.853138
no,-73.97874,40.764072
no,-73.900055,40.67689
no,-74.01033,40.645103
no,-73.873726,40.733894
no,-73.72776,40.681473
no,-73.90494,40.862747
no,-73.83699,40.70058
no,-73.92472,40.86155
no,-73.95415,40.821384
no,-73.892006,40.668255
no,-73.98695,40.756035
no,-73.91025,40.76943
no,-73.907265,40.745888
no,-73.985916,40.763836
no,-73.9112,40.85482
no,-73.86652,40.88759
no,-73.92812,40.630505
no,-73.941956,40.672077
no,-73.75535,40.75706
no,-73.82023,40.791298
no,-73.88763,40.837315
no,-73.88738,40.675755
